Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
,,,B.P.Ed.,I,Education,158207,Officiating and Coaching
,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328705,Environmental Bio-Technology
,,,B.Sc.,III,Microbiology,328805,Recombinant DNA Technology
,,,B.Sc.,III,Physical Education,359005,Kabbaddi
,,,B.A. B.Ed.,III,Education,358607,History (1740-1947)
,,,B.Sc. B.Ed.,III,Education,358707,Cell Biology and Genetics
11-04-2026 Wednesday,,03:00 PM - 06:00 PM,B.Sc.,II,Bio-Technology,228706,Recombinant DNA Technology
,,,B.Sc.,II,Microbiology,228806,Microbial Genetics
,,,B.Sc.,II,Physical Education,259006,Theory of Games & Sports (Basket Ball)
,,,B.Ed.,II,Education,0258006-11,a) Administration b) Guidance c) Env. d) Computer e) Yoga
,,,B.A. B.Ed.,II,Education,258608,History (1526-1740 AD)
,,,B.Sc. B.Ed.,II,Education,0258708/10,a) Developmental Biology b) Differential Equations
,,,B.P.Ed.,II,Education,258206,Research and Statistics in Physical Education
,,,B.Sc. B.Ed.,IV,Education,458718,Pedagogy of Mathematics
13-04-2026 Monday,,11:00 AM - 01:00 PM,B.Sc.,I,Bio-Technology,128708,Chemistry
,,,B.Sc.,I,Microbiology,128808,Analytical Techniques
,,,B.Sc.,I,Physical Education,188008,Environmental Studies (Qualifying)
,,,B.Ed.,I,Education,0158009/13,a) Pedagogy of Mathematics b) Home Science
,,,B.A. B.Ed.,I,Education,188008,Environmental Studies (Compulsory Qualifying)
,,,B.Sc. B.Ed.,I,Education,158712,Basics in Education & Communication
,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328706,Industrial Bio-Technology
,,,B.Sc.,III,Microbiology,328806,Industrial Microbiology
,,,B.Sc.,III,Physical Education,359006,Theory of Games (Sports Specialization)
,,,B.A. B.Ed.,III,Education,358608,History (History of Indian Culture)
,,,B.Sc. B.Ed.,II,Education,358708,Animal Physiology and Biochemistry
15-04-2026 Wednesday,,11:00 AM - 01:00 PM,B.P.Ed.,I,Education,158208,Sports Nutrition and Weight Management
,,,B.Sc.,I,Microbiology,128809,Biology - I
,,,B.Sc.,I,Bio-Technology,128709,Bio-Diversity
,,,B.Sc.,I,Physical Education,188009,Bhartiya Sanskriti Evam Rashtra Gaurav
,,,B.Ed.,I,Education,158010,Pedagogy of Physical Science
,,,B.A. B.Ed.,I,Education,158612,Economics (Indian Economic Problems)
,,,B.Sc. B.Ed.,I,Education,158713,Language Across the Curriculum
,,03:00 PM - 06:00 PM,B.Sc.,II,Bio-Technology,228707,Animal Physiology
,,,B.Sc.,II,Microbiology,228807,Bio-Mathematics
,,,B.Sc.,II,Physical Education,259007,Theory of Games (Volley Ball)
,,,B.A. B.Ed.,II,Education,258609,Political Science (Western Political Thought)
,,,B.Sc. B.Ed.,II,Education,258711,Fundamentals of Contemporary Indian Ed.
,,,B.P.Ed.,II,Education,258207,Sports Medicine and Rehabilitation
,,,B.Sc. B.Ed.,IV,Education,458719,Pedagogy of Physical Science
16-04-2026 Thursday,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328707,Genomics and Proteomics
,,,B.Sc.,III,Microbiology,328807,Microbial Microbiology
,,,B.Sc.,III,Physical Education,359007,Kho Kho
17-04-2026 Friday,,11:00 AM - 01:00 PM,B.Sc.,I,Microbiology,128810,Biology - II
,,,B.Ed.,I,Education,158012,Pedagogy of Computer Science
,,,B.A. B.Ed.,I,Education,158613,Home Science (Management and Housing)
,,,B.Sc. B.Ed.,I,Education,158714,Conservation & Environmental Regeneration
,,,B.Sc.,I,Physical Education,188010,General Awareness (Qualifying)
,,03:00 PM - 06:00 PM,B.A. B.Ed.,III,Education,358610,Political Science (Public Administration)
,,,B.Sc. B.Ed.,III,Education,358709,Mechanics (Statics and Dynamics)
,,,B.Sc.,II,Bio-Technology,228708,Plant Physiology
,,,B.Sc.,II,Microbiology,228808,Fundamentals of Computer & Bio-stats
,,,B.A. B.Ed.,II,Education,258610,Political Science (Comparative Gov.)
,,,B.Sc. B.Ed.,II,Education,258712,Learning Enrichment through ICT
20-04-2026 Monday,,11:00 AM - 01:00 PM,B.Ed.,I,Education,158014,Pedagogy of Commerce
,,,B.A. B.Ed.,I,Education,158614,Home Science (Extension Education)
,,,B.Sc. B.Ed.,I,Education,158715,General English
,,03:00 PM - 06:00 PM,B.P.Ed.,II,Education,258208,Sports Management
,,,B.Sc. B.Ed.,IV,Education,458720,Pedagogy of Chemistry
,,,B.Sc.,III,Bio-Technology,328708,"Bio-safety, IPR and Entrepreneurship "
,,,B.Sc.,III,Microbiology,328808,Microbes in Environmental Bio-Tech
,,,B.A. B.Ed.,III,Education,358611,Political Science (Indian Political Thought)
,,,B.Sc. B.Ed.,III,Education,358710,Abstract Algebra
21-04-2026 Tuesday,,11:00 AM - 01:00 PM,B.A. B.Ed.,I,Education,158615,Development of Learner
,,03:00 PM - 06:00 PM,B.Sc.,II,Microbiology,228809,Biology-III
,,,B.Sc.,II,Bio-Technology,228709,Enzymes and Enzyme Technology
,,,B.A. B.Ed.,II,Education,258612,Economics (Public Finance)
,,,B.Sc. B.Ed.,II,Education,258713,"Schooling, Socialization and Identity "
,,,B.Sc. B.Ed.,IV,Education,458721,Pedagogy of Biological Science
24-04-2026 Friday,,11:00 AM - 01:00 PM,B.A. B.Ed.,I,Education,158616,Essentials of Ed. Technology & Management
,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328709,Recent Trends in Bio-technology
,,,B.Sc.,III,Microbiology,328809,Fundamentals of Information Technology
,,,B.A. B.Ed.,III,Education,358612,Economics (Growth and Development)
,,,B.Sc. B.Ed.,III,Education,358711,"Teaching, Learning & Assessment "
25-04-2026 Saturday,,03:00 PM - 06:00 PM,B.Sc.,II,Microbiology,228810,Biology - IV
,,,B.A. B.Ed.,II,Education,258613,Home Science (Introduction to Textile)
,,,B.Sc. B.Ed.,II,Education,258714,Health & Physical Education
,,,B.Sc. B.Ed.,IV,Education,458722,Pedagogy of General Science
27-04-2026 Monday,,03:00 PM - 06:00 PM,B.Sc.,III,Microbiology,328810,"Genomics, Proteomics and Bio-informatics "
,,,B.A. B.Ed.,III,Education,358613,Economics (Quantitative Methods)
28-04-2026 Tuesday,,03:00 PM - 06:00 PM,B.Sc. B.Ed.,III,Education,358712,Gender Issues in Education
,,,B.A. B.Ed.,II,Education,258614,Home Science (Child Development)
,,,B.A. B.Ed.,III,Education,358614,Home Science (Foods and Nutrition)
30-04-2026 Thursday,,03:00 PM - 06:00 PM,B.Sc. B.Ed.,III,Education,358713,Pedagogy of Mathematics
,,,B.A. B.Ed.,II,Education,258615,Teacher in Emerging Indian Society
02-05-2026 Thursday,,03:00 PM - 06:00 PM,B.A. B.Ed.,III,Education,358615,Home Science (Dietetics)
,,,B.Sc. B.Ed.,III,Education,358714,Pedagogy of Physical Science
04-05-2026 Sunday,,03:00 PM - 06:00 PM,B.A. B.Ed.,II,Education,258616,Development of Education System in India
05-05-2026 Tuesday,,03:00 PM - 06:00 PM,B.A. B.Ed.,III,Education,0358680/81,Career Guidance / Educational Administration
06-05-2026 Friday,,03:00 PM - 06:00 PM,B.Sc. B.Ed.,III,Education,358716,Pedagogy of Biological Science
,,,B.A. B.Ed.,II,Education,188002,Games/Sports and Physical Education (Compulsory)
