Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
18-Apr-26,Saturday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,English - Indian Writing in English,AE-310,3rd
18-Apr-26,Saturday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Sanskrit,AE-331,3rd
21-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Hindi - Aghatan Hindi Evam Kaurvi Lok Kavya,AE-313,3rd
23-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Hindi - Hindi Nimbandh tatha Anya Gadhya Vidhyaen,AE-314,3rd
9-May-26,Saturday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,History - Political History of India (1740-1947),AE-315,3rd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,History - History of Indian Culture,AE-316,3rd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,History - History of Modern World (1453-1950 A.D.),AE-316A,3rd
30-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Home Science - Fundamentals of Food and Nutrition,AE-317,3rd
4-May-26,Monday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Home Science - Dietetics and Therapeutic Nutrition,AE-318,3rd
6-May-26,Wednesday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Economics - Economics of Growth and Development,AE-345,3rd
7-May-26,Thursday,Shift-I (10:00 AM - 01:00 PM),B.A.-B.Ed.,Education,Economics - Quantitiative Methods,AE-346,3rd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),MFA,MFA,Research Methodology its Application in Fine Art,MFA-4001,4th
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),M.A./M.Sc.,Yogic Science,Indian Philosophy and Culture,MYSC-401,4th
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),M.A.,Jyotirvigyan,Jyotirvigyan Mein Varg Vidhan,MJSC-401,4th
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Food Science and Technolohy,Techniques of Milk and Milk Products,FST-4001,4th
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Seed Science Technology,Seed Pathology,SST-4001,4th
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Horticulture,Principles and Methods of Fruit and Vegetable Preservation,HORT-401,4th
28-Apr-26,Tuesday,Shift-II (02:00 PM - 05:00 PM),M.Sc.,Medical Microbiology,Parasitology,MM-401,4th
28-Apr-26,Tuesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA),Healthcare Quality Systems,MHA 401,4th
28-Apr-26,Tuesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,Old,Business Environment,MBA 401,4th
28-Apr-26,Tuesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA) Integrated,Operation Clinical Services,BHI 601,6th
30-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),M.A./M.Sc.,Yogic Science,General Psychology,MYSC-402,4th
30-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),M.A.,Jyotirvigyan,Kundali Vishleshan Ke Saiddhantik Niyam,MJSC-402,4th
30-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Food Science and Technolohy,Food Biotechnology,FST-402,4th
30-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Seed Science Technology,Seed Biotechnology,SST-4002,4th
30-Apr-26,Thursday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Horticulture,Advances in Horticulture,HORT-402,4th
30-Apr-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.Sc.,Medical Microbiology,Epidemiology: Disease Coontrol and Public Health,MM-402,4th
30-Apr-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA),Entrepreneurship,MHA 402,4th
30-Apr-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,Old,Operation Research,MBA 402,4th
30-Apr-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA) Integrated,Customer Relationship Management,BHI 602,6th
4-May-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.A./M.Sc.,Yogic Science,Yoga in Upanishads,MYSC-403,4th
4-May-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.A.,Jyotirvigyan,Nhartiya Vaidik Parv Evam Tyohar,MJSC-403,4th
4-May-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.Sc. (Ag.),Food Science and Technolohy,Food Additives and Packaging,FST-4003,4th
4-May-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.Sc.,Medical Microbiology,Pharamaceutical Microbiology,MM-403,4th
4-May-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA),Regulation for Hospitals,MHA 403,4th
4-May-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Training and Development,MBA HR-03,4th
4-May-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA) Integrated,Logistics & Supply Chain Management,BHI 603,6th
5-May-26,Tuesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Marketing of Services,MBA MK-03,4th
6-May-26,Wednesday,Shift-I (10:00 AM - 01:00 PM),M.A./M.Sc.,Yogic Science,Essays (Yogic Nibandh),MYSC-404,4th
6-May-26,Wednesday,Shift-I (10:00 AM - 01:00 PM),M.A.,Jyotirvigyan,Grah Shanti Vidhan,MJSC-404,4th
6-May-26,Wednesday,Shift-II (02:00 PM - 05:00 PM),M.Sc.,Medical Microbiology,Nutritional Therapy,MM-404,4th
6-May-26,Wednesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA),Health Economics,MHA 404,4th
6-May-26,Wednesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Working Capital Management,MBA FM-03,4th
7-May-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA),Research Methodology & Analysis,MHA 405,4th
7-May-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Export Import Documentation,MBA IB-03,4th
7-May-26,Thursday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA) Integrated,Relational Data Based Management System,BHI 604,6th
8-May-26,Friday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Negotiation and Conflict Management,MBA HR-04,4th
9-May-26,Saturday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,(HA) Integrated,Health Policy and Administration,BHI 605,6th
9-May-26,Saturday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Digital Marketing,MBA MK-04,4th
11-May-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Financial Derivatives,MBA FM-04,4th
12-May-26,Tuesday,Shift-II (02:00 PM - 05:00 PM),M.B.A.,New,Cross Cultural Management,MBA IN-04,4th
24-Apr-26,Friday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Organisational Development,CI-4507,4th
25-Apr-26,Saturday,Shift-I (10:00 AM - 01:00 PM),M.Sc.,Biotechnology,Concepts in Nano Biotechnology,CH-4595,4th
25-Apr-26,Saturday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Corporate Governance and Ethics,CI-4501,4th
25-Apr-26,Saturday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Genetics & Plant Breeding,Advanced Genetics,CJ-4521,4th
25-Apr-26,Saturday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Entomology,Plant Quarantine,CJ-4525,4th
25-Apr-26,Saturday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Plant Pathology,Plant Quarantine,CJ-4531,4th
27-Apr-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.Sc.,Biotechnology,Genomics and Prtomics,CH-4596,4th
27-Apr-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Security Laws and Capital Market,CI-4502,4th
27-Apr-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Genetics & Plant Breeding,Crop Breeding,CJ-4522,4th
27-Apr-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Entomology,Storage Entomology,CJ-4526,4th
27-Apr-26,Monday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Plant Pathology,Principles of Plant Disease Management,CJ-4532,4th
29-Apr-26,Wednesday,Shift-I (10:00 AM - 01:00 PM),M.Sc.,Biotechnology,"Biothics Intellectual Property, Rights Biosefty and Research Methodologies",CH-4597,4th
29-Apr-26,Wednesday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Securities Analysis and Portfolio Management,CI-4503,4th
29-Apr-26,Wednesday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Genetics & Plant Breeding,Seed Production And Certification,CJ-4523,4th
2-May-26,Saturday,Shift-I (10:00 AM - 01:00 PM),M.Sc.,Biotechnology,Industrial Biotechnology & Bioentrepreneurship,CH-4598,4th
2-May-26,Saturday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Consumer Behaviour,CI-4504,4th
2-May-26,Saturday,Shift-II (02:00 PM - 05:00 PM),M.Sc. (Ag.),Genetics & Plant Breeding,"Genomics, Transcriptomics and Proteomics",CJ-4524,4th
4-May-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Marketing of Services,CI-4505,4th
