Date,Day,Shift,Class,Subject,Course,Code
13-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Sociology,Introduction to Sociology,A-132
15-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),Foundation,—,Hindi,A-011
16-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Political Science,Administrative Theory,G-271
17-Apr-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Education,New Trends & Innovation,A-350
18-Apr-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Economics,Agricultural Economics,G-208
20-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Education,History & Development of Indian Education,A-161
21-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Sanskrit,Veda-Upanishad-Akhyayan,A-130
24-Apr-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Sociology,Sociology in India,G-389
25-Apr-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Sanskrit,Gadya Kavya,A-131
27-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,History,Political History of India (740–947),A-415
28-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Hindi,Kabir & Tulsidas,G-131
29-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Economics,Macro Economics,A-146
29-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Economics,Macro Economics,B-146
30-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),Qualifying,-,General Awareness,A-009
2-May-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Numerical Methods,A-328
2-May-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Numerical Methods,B-328
4-May-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Urdu,Nazm,A-137
5-May-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,English,English Grammar & Phonetics,A-110
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,History,History of Modern World,A-417
18-Mar-26,Wednesday,Shift 2,B.A.,—,Prose,A-216
18-Mar-26,Wednesday,B.A.,—,"Health Education, Safety Education, First Aid and Rehabilitation",S-201,
19-Mar-26,Thursday,Shift 2,M.A.,—,Operations Research,I-301
19-Mar-26,Thursday,Shift 2,B.A.,Philosophy,Ethics (Indian & Western),224
19-Mar-26,Thursday,Shift 2,B.A.,Hindi,Adhunik Hindi Kavya,A-213
19-Mar-26,Thursday,Shift 2,B.Sc. (PE & Sports),—,Physiology of Exercise,S-202
20-Mar-26,Friday,Shift 2,B.A. & B.Sc.,Maths,Linear Algebra & Matrices,AAB-226
20-Mar-26,Friday,Shift 2,B.Sc. (PE & Sports),—,Theory of Games & Sports (Track & Field Events),S-203
23-Mar-26,Monday,Shift 2,M.A.,Economics,Quantitative Methods,AAB-236
23-Mar-26,Monday,Shift 2,B.Sc. (PE & Sports),—,Theory of Games & Sports (Gymnastics),S-204
24-Mar-26,Tuesday,Shift 2,B.A.,English,British Poetry,A-209
24-Mar-26,Tuesday,Shift 2,M.A.,Economics,Managerial Economics,I-305
25-Mar-26,Wednesday,Shift 2,B.A.,Library & Info Science,Knowledge Organization in Libraries,A-221
25-Mar-26,Wednesday,Shift 2,B.A.,Psychology,Psychopathology,A-430
25-Mar-26,Wednesday,Shift 2,B.A./B.Sc.,Defence Studies,Art of War in India (after 1947),AB-304
25-Mar-26,Wednesday,Shift 2,B.A./B.Sc.,Geography,Economic Geography,AB-211
25-Mar-26,Wednesday,Shift 2,B.Sc.,Botany,"Diversity of Angiosperms: Systematics, Development & Reproduction",B-301
25-Mar-26,Wednesday,Shift 2,B.Sc.,Chemistry,Inorganic Chemistry,B-306
25-Mar-26,Wednesday,Shift 2,B.Sc.,Physics,Principles of Lasers,B-316
25-Mar-26,Wednesday,Shift 2,B.Sc.,Zoology,Chordata,B-320
27-Mar-26,Friday,Shift 2,B.A.,Psychology,Social Psychology,A-241
27-Mar-26,Friday,Shift 2,B.A./B.Sc.,Geography,Geography of India,AB-312
27-Mar-26,Friday,Shift 2,B.Sc.,Botany,"Genetics, Evolution & Ecology",B-302
27-Mar-26,Friday,Shift 2,B.Sc.,Chemistry,Organic Chemistry,B-307
27-Mar-26,Friday,Shift 2,B.Sc.,Physics,Electromagnetics,B-317
27-Mar-26,Friday,Shift 2,B.Sc.,Zoology,"Animal Distribution, Evolution & Development",B-321
28-Mar-26,Saturday,Shift 2,B.A.,Physical Education,Athletic Injuries & Rehabilitation,A-287
30-Mar-26,Monday,Shift 2,B.A./B.Sc./B.Com,Qualifying Course,Sports & Physical Education,ABC-002
1-Apr-26,Wednesday,Shift 2,B.Sc.,Botany,Plant Physiology & Biochemistry,B-300
1-Apr-26,Wednesday,Shift 2,B.Sc.,Chemistry,Physical Chemistry,B-308
4-Apr-26,Saturday,Shift 2,M.A.,Sanskrit,Research Methodology,G-302
6-Apr-26,Monday,Shift 2,B.A.,Political Science,Outline History of Western Political Thought,A-238
7-Apr-26,Tuesday,Shift 2,B.A.,Hindi,Hindi Katha Sahitya,A-214
8-Apr-26,Wednesday,Shift 2,B.A./B.Sc.,Maths,Differential Equations & Integral Transforms,AAB-227
10-Apr-26,Friday,Shift 2,Qualifying,—,Environmental Studies,CAS-008
11-Apr-26,Saturday,Shift 2,B.A.,Political Science,Comparative Government,A-239
13-Apr-26,Monday,Shift 2,B.A.,Sociology,Social Change & Social Control,A-232
15-Apr-26,Wednesday,Shift 2,M.A.,Education,Teacher Education,G-303
16-Apr-26,Thursday,Shift 2,M.A.,Political Science,State Politics in India,G-271
17-Apr-26,Friday,Shift 2,B.A.,Education,Educational Psychology,A-350
18-Apr-26,Saturday,Shift 2,M.A.,Economics,Research Methodology,G-210
20-Apr-26,Monday,Shift 2,B.A.,English,Restoration to 1798,G-116
21-Apr-26,Tuesday,Shift 2,M.Com.,—,Statistical Analysis,I-403
24-Apr-26,Friday,Shift 2,M.A.,Sociology,Modern Sociological Thinkers,G-389
25-Apr-26,Saturday,Shift 2,M.A.,Political Science,India and the World,G-473
27-Apr-26,Monday,Shift 2,B.A.,History,Political History of Medieval India (1206–1526 AD),A-215
28-Apr-26,Tuesday,Shift 2,M.A.,Hindi,Chhayavad Kavya,G-332
29-Apr-26,Wednesday,Shift 2,B.A./B.Sc.,Economics,Public Finance,AAB-246
30-Apr-26,Thursday,Shift 2,B.A.,Qualifying,General Awareness,CAS-410
2-May-26,Saturday,Shift 2,B.A./B.Sc.,Maths,Vector Analysis,AAB-328
4-May-26,Monday,Shift 2,B.A.,Urdu,Ghazal,A-237
5-May-26,Tuesday,Shift 2,B.A.,English,Women Writers in English Novel & Poetry,A-210
6-May-26,Wednesday,Shift 2,M.Com.,—,Corporate Laws & Governance,I-107
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Music,History of Physical Education,A-310
